campaign_id,source_experiment_id,grind_setting,psi,d_s2_um,source_statement,source_id,source_location,mapping_kind,mapping_confidence,unresolved_fields
FIT_2021_12,1,1.4,0.19,332,ExpSheet grind column=1.4,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,2,1.4,0.19,332,ExpSheet grind column=1.4,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,3,2,0.22,301,ExpSheet grind column=2,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,4,2,0.22,301,ExpSheet grind column=2,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,5,1.4,0.19,332,ExpSheet grind column=1.4,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,6,1.4,0.19,332,ExpSheet grind column=1.4,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,7,2,0.22,301,ExpSheet grind column=2,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,8,2,0.22,301,ExpSheet grind column=2,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,9,1.7,0.23,330,ExpSheet grind column=1.7,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,10,1.7,0.23,330,ExpSheet grind column=1.7,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,11,1.7,0.23,330,ExpSheet grind column=1.7,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,12,1.4,0.19,332,ExpSheet grind column=1.4,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,13,2,0.22,301,ExpSheet grind column=2,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,14,1.7,0.23,330,ExpSheet grind column=1.7,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
FIT_2021_12,15,1.7,0.23,330,ExpSheet grind column=1.7,P24-DOE-FIT,ExpSheet grind column,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,1,1.7,0.23,330,DoE!F46=1.7,P24-DOE-PRED,DoE!F46,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,2,1.7,0.23,330,DoE!F47=1.7,P24-DOE-PRED,DoE!F47,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,3,1.7,0.23,330,DoE!F48=1.7,P24-DOE-PRED,DoE!F48,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,4,1.7,0.23,330,DoE!F49=1.7,P24-DOE-PRED,DoE!F49,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,5,1.7,0.23,330,DoE!F50=1.7,P24-DOE-PRED,DoE!F50,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,6,1.7,0.23,330,DoE!F51=1.7,P24-DOE-PRED,DoE!F51,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,7,1.7,0.23,330,DoE!F52=1.7,P24-DOE-PRED,DoE!F52,DIRECTLY_STATED,HIGH,
PREDICTION_2022_03,8,1.7,0.23,330,DoE!F53=1.7,P24-DOE-PRED,DoE!F53,DIRECTLY_STATED,HIGH,
